curve,train_K,method,split,K,seed,metric,value,dataset
trunc,512.0,BRMIL,test,8,0,aupr,0.900609434,deepTargetPro
trunc,512.0,BRMIL,test,8,0,auroc,0.948440024,deepTargetPro
trunc,512.0,BRMIL,test,8,1,aupr,0.901500902,deepTargetPro
trunc,512.0,BRMIL,test,8,1,auroc,0.951410847,deepTargetPro
trunc,512.0,BRMIL,test,8,2,aupr,0.89609793,deepTargetPro
trunc,512.0,BRMIL,test,8,2,auroc,0.948046731,deepTargetPro
trunc,512.0,BRMIL,test,16,0,aupr,0.945487824,deepTargetPro
trunc,512.0,BRMIL,test,16,0,auroc,0.974810458,deepTargetPro
trunc,512.0,BRMIL,test,16,1,aupr,0.945198541,deepTargetPro
trunc,512.0,BRMIL,test,16,1,auroc,0.974005256,deepTargetPro
trunc,512.0,BRMIL,test,16,2,aupr,0.946990939,deepTargetPro
trunc,512.0,BRMIL,test,16,2,auroc,0.97645151,deepTargetPro
trunc,512.0,BRMIL,test,32,0,aupr,0.965022013,deepTargetPro
trunc,512.0,BRMIL,test,32,0,auroc,0.98627745,deepTargetPro
trunc,512.0,BRMIL,test,32,1,aupr,0.96582497,deepTargetPro
trunc,512.0,BRMIL,test,32,1,auroc,0.98329765,deepTargetPro
trunc,512.0,BRMIL,test,32,2,aupr,0.965627453,deepTargetPro
trunc,512.0,BRMIL,test,32,2,auroc,0.983148265,deepTargetPro
trunc,512.0,BRMIL,test,64,0,aupr,0.975190101,deepTargetPro
trunc,512.0,BRMIL,test,64,0,auroc,0.987933628,deepTargetPro
trunc,512.0,BRMIL,test,64,1,aupr,0.973063475,deepTargetPro
trunc,512.0,BRMIL,test,64,1,auroc,0.986987123,deepTargetPro
trunc,512.0,BRMIL,test,64,2,aupr,0.975878283,deepTargetPro
trunc,512.0,BRMIL,test,64,2,auroc,0.987776723,deepTargetPro
trunc,512.0,BRMIL,test,128,0,aupr,0.976289425,deepTargetPro
trunc,512.0,BRMIL,test,128,0,auroc,0.988739174,deepTargetPro
trunc,512.0,BRMIL,test,128,1,aupr,0.978210699,deepTargetPro
trunc,512.0,BRMIL,test,128,1,auroc,0.989815541,deepTargetPro
trunc,512.0,BRMIL,test,128,2,aupr,0.977971546,deepTargetPro
trunc,512.0,BRMIL,test,128,2,auroc,0.989913606,deepTargetPro
trunc,512.0,BRMIL,test,256,0,aupr,0.983042987,deepTargetPro
trunc,512.0,BRMIL,test,256,0,auroc,0.98912086,deepTargetPro
trunc,512.0,BRMIL,test,256,1,aupr,0.977735206,deepTargetPro
trunc,512.0,BRMIL,test,256,1,auroc,0.988509823,deepTargetPro
trunc,512.0,BRMIL,test,256,2,aupr,0.979991651,deepTargetPro
trunc,512.0,BRMIL,test,256,2,auroc,0.991423941,deepTargetPro
retrain,8.0,BRMIL,test,8,0,aupr,0.915103946,deepTargetPro
retrain,8.0,BRMIL,test,8,0,auroc,0.964366457,deepTargetPro
retrain,8.0,BRMIL,test,8,1,aupr,0.913327612,deepTargetPro
retrain,8.0,BRMIL,test,8,1,auroc,0.967049806,deepTargetPro
retrain,8.0,BRMIL,test,8,2,aupr,0.91724695,deepTargetPro
retrain,8.0,BRMIL,test,8,2,auroc,0.966856416,deepTargetPro
retrain,16.0,BRMIL,test,16,0,aupr,0.922007654,deepTargetPro
retrain,16.0,BRMIL,test,16,0,auroc,0.973327043,deepTargetPro
retrain,16.0,BRMIL,test,16,1,aupr,0.923963143,deepTargetPro
retrain,16.0,BRMIL,test,16,1,auroc,0.973302792,deepTargetPro
retrain,16.0,BRMIL,test,16,2,aupr,0.92585,deepTargetPro
retrain,16.0,BRMIL,test,16,2,auroc,0.973311625,deepTargetPro
retrain,32.0,BRMIL,test,32,0,aupr,0.944247063,deepTargetPro
retrain,32.0,BRMIL,test,32,0,auroc,0.984031485,deepTargetPro
retrain,32.0,BRMIL,test,32,1,aupr,0.943272577,deepTargetPro
retrain,32.0,BRMIL,test,32,1,auroc,0.985046162,deepTargetPro
retrain,32.0,BRMIL,test,32,2,aupr,0.938906889,deepTargetPro
retrain,32.0,BRMIL,test,32,2,auroc,0.983334435,deepTargetPro
retrain,64.0,BRMIL,test,64,0,aupr,0.956592767,deepTargetPro
retrain,64.0,BRMIL,test,64,0,auroc,0.989804187,deepTargetPro
retrain,64.0,BRMIL,test,64,1,aupr,0.957080843,deepTargetPro
retrain,64.0,BRMIL,test,64,1,auroc,0.993645061,deepTargetPro
retrain,64.0,BRMIL,test,64,2,aupr,0.955604121,deepTargetPro
retrain,64.0,BRMIL,test,64,2,auroc,0.992697068,deepTargetPro
retrain,128.0,BRMIL,test,128,0,aupr,0.938406439,deepTargetPro
retrain,128.0,BRMIL,test,128,0,auroc,0.984210691,deepTargetPro
retrain,128.0,BRMIL,test,128,1,aupr,0.943020496,deepTargetPro
retrain,128.0,BRMIL,test,128,1,auroc,0.985868684,deepTargetPro
retrain,128.0,BRMIL,test,128,2,aupr,0.94439168,deepTargetPro
retrain,128.0,BRMIL,test,128,2,auroc,0.986241509,deepTargetPro
retrain,256.0,BRMIL,test,256,0,aupr,0.924799575,deepTargetPro
retrain,256.0,BRMIL,test,256,0,auroc,0.974809867,deepTargetPro
retrain,256.0,BRMIL,test,256,1,aupr,0.927816327,deepTargetPro
retrain,256.0,BRMIL,test,256,1,auroc,0.975297752,deepTargetPro
retrain,256.0,BRMIL,test,256,2,aupr,0.922482172,deepTargetPro
retrain,256.0,BRMIL,test,256,2,auroc,0.973602183,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,8,0,aupr,0.825480548,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,8,0,auroc,0.902497729,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,8,1,aupr,0.826542426,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,8,1,auroc,0.902652388,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,8,2,aupr,0.825972747,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,8,2,auroc,0.902226832,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,16,0,aupr,0.82702559,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,16,0,auroc,0.901852523,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,16,1,aupr,0.826856775,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,16,1,auroc,0.901570459,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,16,2,aupr,0.826036946,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,16,2,auroc,0.90179461,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,32,0,aupr,0.82520416,deepTargetPro
maxpool,,TargetNet_like_maxpool,test,32,0,auroc,0.902489578,deepTargetPro
