mrna_id
2L52.1a.1
2RSSE.1a.1
2RSSE.1b.1
2RSSE.1c.1
3R5.1a.1
3R5.1b.1
4R79.1a.1
AC3.2.1
AC3.3.1
AC3.4.1
AC3.5a.1
AC3.5b.1
AC3.7.1
AC3.8.1
AC7.1a.1
AC7.1b.1
AC7.2a.1
AC7.2b.1
AC7.2c.1
AC7.2d.1
AC8.11.1
AC8.4.1
AH10.4.1
AH6.1.1
AH6.12.1
AH6.2.1
AH6.7.1
AH9.1.1
AH9.2.1
AH9.3.1
AH9.3.2
AH9.4.1
AH9.6.1
B0001.1a.1
B0001.2.1
B0001.3a.1
B0001.3b.1
B0001.3c.1
B0001.4a.1
B0001.4c.1
B0001.5.1
B0001.6.1
B0001.6.2
B0001.7a.1
B0001.7b.1
B0001.8a.1
B0001.8b.1
B0001.8c.1
B0001.8d.1
B0001.8d.2
B0001.8d.3
B0001.8d.4
B0019.1.1
B0019.2.1
B0024.1.1
B0024.10.1
B0024.11.1
B0024.12.1
B0024.13.1
B0024.14a.1
B0024.14b.1
B0024.14d.1
B0024.14f.1
B0024.15.1
B0024.2.1
B0024.3.1
B0024.4.1
B0024.6a.1
B0024.6b.1
B0024.8a.1
B0024.8b.1
B0024.8c.1
B0024.8d.1
B0024.9a.1
B0024.9b.1
B0025.1a.1
B0025.1c.1
B0025.2.1
B0025.2.2
B0025.4.1
B0025.5.1
B0034.1.1
B0034.1.2
B0034.3a.1
B0034.3b.1
B0034.3c.1
B0034.3d.1
B0034.5.1
B0035.10.1
B0035.11.1
B0035.12.1
B0035.12.2
B0035.13.1
B0035.14a.1
B0035.15.1
B0035.1a.1
B0035.1b.1
B0035.2.1
B0035.4.1
B0035.5.1
B0035.6.1
B0035.7.1
B0035.8.1
B0035.9.1
B0041.2a.1
B0041.2a.2
B0041.2b.1
B0041.2c.1
B0041.2d.1
B0041.2e.1
B0041.2f.1
B0041.2g.1
B0041.3.1
B0041.4.1
B0041.5a.1
B0041.5c.1
B0041.7.1
B0041.8.1
B0047.1.1
B0047.1.2
B0047.3.1
B0198.1.1
B0198.2a.1
B0198.2b.1
B0198.2b.2
B0198.3a.1
B0198.3a.2
B0205.11.1
B0205.12.1
B0205.13.1
B0205.14.2
B0205.14.3
B0205.1a.1
B0205.2a.1
B0205.3.1
B0205.4.1
B0205.5.1
B0205.6.1
B0205.7.1
B0205.8.1
B0205.9.1
B0207.11.1
B0207.12a.1
B0207.12a.2
B0207.12a.3
B0207.12b.1
B0207.12c.1
B0207.2.1
B0207.2.2
B0207.3.1
B0207.4.2
B0207.5a.1
B0207.5b.1
B0207.6.1
B0207.7.1
B0207.9.1
B0207.9.2
B0212.1a.1
B0212.3.1
B0212.4a.1
B0212.4b.1
B0212.4c.1
B0212.4d.1
B0212.4d.2
B0212.4d.3
B0212.5.1
B0213.11a.1
B0213.12.1
B0213.14.1
