pipeline,split,K,repeat_id,seed,num_pairs_subset,batch_size,num_workers,amp,gpu_name,avg_n_full,median_n_full,p95_n_full,t_total_mean,t_total_std,throughput_pairs_per_s_mean,throughput_pairs_per_s_std,peak_vram_gb_mean,peak_vram_gb_std,segment_time_mean_json,segment_time_std_json,timestamp,profile_A_pair_slices_ms,profile_B_gather_all_cpu_ms,profile_C_cheap_forward_ms,profile_D_selector_ms,profile_E_build_batch_cpu_K_ms,profile_F_instance_encode_ms,profile_G_assemble_tokens_ms,profile_H_agg_forward_ms
BR-MIL_online,test,64,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.2326650443673134,0.024731158012032885,277.99933872172454,27.83750953168714,0.13108015060424805,0.0,"{""t_next_batch"": 0.00026494711637496947}","{""t_next_batch"": 5.922361984132676e-05}",2026-01-28T08:11:55,0.8078922724558247,201.50191329626577,15.834122451229227,6.499638025545412,0.568972910857863,2.190763679229551,0.24237230213152036,3.088292106986046
BR-MIL_online,test,64,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.23025923393666745,0.024733601040997324,280.9569259351918,28.356157995501366,0.13108015060424805,0.0,"{""t_next_batch"": 0.0002553773671388626}","{""t_next_batch"": 3.9225434010888736e-05}",2026-01-28T08:11:55,0.8078922724558247,201.50191329626577,15.834122451229227,6.499638025545412,0.568972910857863,2.190763679229551,0.24237230213152036,3.088292106986046
BR-MIL_online,test,64,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.22933230292052031,0.02429119679369373,282.0284725300789,28.250358669800715,0.13108015060424805,0.0,"{""t_next_batch"": 0.00025419000536203385}","{""t_next_batch"": 3.7607905527486566e-05}",2026-01-28T08:11:55,0.8078922724558247,201.50191329626577,15.834122451229227,6.499638025545412,0.568972910857863,2.190763679229551,0.24237230213152036,3.088292106986046
BR-MIL_online,test,64,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6823651918629184,0.04960097672501778,94.28239714433109,6.780097183765017,0.12514352798461914,0.0,"{""t_next_batch"": 0.0003857193747535348}","{""t_next_batch"": 4.094069177682513e-05}",2026-01-29T10:20:50,1.327785460226652,639.1544754862681,31.039935796676826,12.169066313395485,1.9936516234237285,3.540531926167508,0.15069763434843883,4.390617792442856
BR-MIL_online,test,64,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6867024297313765,0.04860541505468816,93.65111284540647,6.409880565928209,0.12514352798461914,0.0,"{""t_next_batch"": 0.00039122729562222956}","{""t_next_batch"": 4.423887512077971e-05}",2026-01-29T10:20:50,1.327785460226652,639.1544754862681,31.039935796676826,12.169066313395485,1.9936516234237285,3.540531926167508,0.15069763434843883,4.390617792442856
BR-MIL_online,test,64,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7201054913178087,0.10637696535005883,90.34131389855635,10.207607519376973,0.12514352798461914,0.0,"{""t_next_batch"": 0.00039435047190636394}","{""t_next_batch"": 4.823736234853509e-05}",2026-01-29T10:20:50,1.327785460226652,639.1544754862681,31.039935796676826,12.169066313395485,1.9936516234237285,3.540531926167508,0.15069763434843883,4.390617792442856
BR-MIL_online,test,8,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6645282218698412,0.053281829245002445,96.89580127212767,7.3680654816004525,0.07371330261230469,0.0,"{""t_next_batch"": 0.0003685701731592417}","{""t_next_batch"": 5.279543359722462e-05}",2026-01-29T10:36:34,1.3398370653804805,623.4343690034519,30.619339576353216,9.670169929611598,0.9950340466780796,2.879252463268737,0.14319119250608817,4.4214375782758
BR-MIL_online,test,8,1,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6647731289640069,0.049471511020346144,96.79643620004897,7.0585239589322475,0.07371330261230469,0.0,"{""t_next_batch"": 0.0003741155518218875}","{""t_next_batch"": 5.6825736068629305e-05}",2026-01-29T10:36:34,1.3398370653804805,623.4343690034519,30.619339576353216,9.670169929611598,0.9950340466780796,2.879252463268737,0.14319119250608817,4.4214375782758
BR-MIL_online,test,8,2,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.7043244948796928,0.11143053599904891,92.58845372001664,11.11095954036691,0.07371330261230469,0.0,"{""t_next_batch"": 0.00037123809102922677}","{""t_next_batch"": 5.0971894938111e-05}",2026-01-29T10:36:34,1.3398370653804805,623.4343690034519,30.619339576353216,9.670169929611598,0.9950340466780796,2.879252463268737,0.14319119250608817,4.4214375782758
BR-MIL_online,test,16,0,2020,1024,64,0,False,NVIDIA GeForce RTX 4090,1380.0234375,943.0,4018.0999999999995,0.6967985305516049,0.09431995258168253,93.12547164660437,9.643641011378321,0.07371330261230469,0.0,"{""t_next_batch"": 0.0003849397785961628}","{""t_next_batch"": 4.90008522352855e-05}",2026-01-29T10:40:40,1.2984901563160947,629.0923087340262,29.249164287466556,10.004358970197954,1.09288451106598,2.4909983492559853,0.14320082781422472,4.071002969673525
