gene ID,gene name,mRNA,miRNAs
ENSG00000198888,MT-ND1,ENST00000361390.2,"hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-146a-5p,hsa-miR-28-5p,hsa-miR-20a-5p,hsa-miR-182-5p,hsa-miR-122-5p,hsa-miR-30d-5p,hsa-miR-155-5p,hsa-miR-181a-5p,hsa-miR-500a-5p,hsa-miR-2278,hsa-miR-320a-3p,hsa-miR-26b-5p,hsa-miR-29b-3p,hsa-miR-744-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-574-5p,hsa-miR-877-5p,hsa-miR-320c,hsa-miR-216b-5p,hsa-miR-185-5p,hsa-miR-194-5p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-miR-3129-5p,hsa-miR-1303,hsa-miR-455-3p,hsa-miR-190a-5p,hsa-miR-455-5p,hsa-miR-652-3p"
ENSG00000198763,MT-ND2,ENST00000361453.3,"hsa-miR-760,hsa-let-7i-5p,hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-146a-5p,hsa-miR-16-5p,hsa-miR-20a-5p,hsa-miR-296-3p,hsa-miR-26a-5p,hsa-miR-142-3p,hsa-miR-182-5p,hsa-miR-483-5p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-122-5p,hsa-miR-885-3p,hsa-miR-19a-3p,hsa-miR-378a-3p,hsa-miR-320a-3p,hsa-miR-744-5p,hsa-miR-193b-3p,hsa-miR-125b-2-3p,hsa-miR-196a-5p,hsa-miR-574-5p,hsa-miR-877-5p,hsa-miR-23b-3p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-148b-3p,hsa-miR-17-5p,hsa-miR-151a-3p,hsa-miR-23a-3p,hsa-miR-342-5p"
ENSG00000198804,MT-CO1,ENST00000361624.2,"hsa-miR-760,hsa-let-7e-5p,hsa-miR-16-2-3p,hsa-miR-769-3p,hsa-miR-186-5p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-454-3p,hsa-miR-130a-3p,hsa-miR-149-5p,hsa-miR-378g,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-27b-3p,hsa-miR-20a-5p,hsa-miR-222-3p,hsa-miR-26a-5p,hsa-miR-6763-5p,hsa-miR-15b-5p,hsa-miR-103a-3p,hsa-miR-193a-5p,hsa-miR-181b-5p,hsa-miR-301b-3p,hsa-miR-122-5p,hsa-miR-30d-5p,hsa-miR-181a-5p,hsa-miR-99b-3p,hsa-miR-378a-3p,hsa-miR-19a-3p,hsa-miR-320a-3p,hsa-miR-29a-3p,hsa-miR-26b-5p,hsa-miR-744-5p,hsa-miR-766-3p,hsa-miR-193b-3p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-550a-5p,hsa-miR-361-5p,hsa-miR-378a-5p,hsa-miR-877-5p,hsa-miR-23b-3p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-miR-615-3p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-95-3p,hsa-miR-374b-5p,hsa-miR-421,hsa-miR-374c-5p,hsa-miR-210-3p,hsa-miR-342-3p,hsa-miR-455-3p,hsa-miR-190a-5p,hsa-miR-151a-3p,hsa-miR-23a-3p"
ENSG00000198712,MT-CO2,ENST00000361739.1,"hsa-miR-192-5p,hsa-miR-186-5p,hsa-miR-93-5p,hsa-miR-130a-3p,hsa-miR-30e-5p,hsa-miR-16-5p,hsa-miR-20a-5p,hsa-miR-26a-5p,hsa-miR-3934-5p,hsa-miR-301a-3p,hsa-miR-103a-3p,hsa-miR-301b-3p,hsa-miR-122-5p,hsa-miR-181a-5p,hsa-miR-130b-3p,hsa-miR-378a-3p,hsa-miR-320a-3p,hsa-miR-504-5p,hsa-miR-744-5p,hsa-miR-18a-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-877-5p,hsa-miR-194-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-33a-5p,hsa-miR-17-5p,hsa-miR-652-3p,hsa-miR-100-5p"
ENSG00000228253,MT-ATP8,ENST00000361851.1,"hsa-miR-196a-5p,hsa-let-7e-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-501-5p,hsa-let-7a-5p,hsa-miR-10b-5p,hsa-miR-26a-5p,hsa-miR-3127-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-let-7g-5p,hsa-let-7c-5p,hsa-miR-122-5p,hsa-miR-98-5p,hsa-miR-500a-5p,hsa-let-7f-5p,hsa-miR-210-3p,hsa-miR-1303,hsa-miR-320a-3p,hsa-miR-455-3p,hsa-miR-26b-5p,hsa-miR-151a-3p,hsa-miR-23a-3p"
ENSG00000198899,MT-ATP6,ENST00000361899.2,"hsa-miR-192-5p,hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-186-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-30e-5p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-296-3p,hsa-miR-20a-5p,hsa-miR-26a-5p,hsa-miR-222-3p,hsa-miR-15b-5p,hsa-miR-6721-5p,hsa-miR-345-5p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-3611,hsa-miR-122-5p,hsa-miR-6802-5p,hsa-miR-30d-5p,hsa-miR-3679-5p,hsa-miR-542-3p,hsa-miR-130b-3p,hsa-miR-320a-3p,hsa-miR-26b-5p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-769-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-18a-3p,hsa-miR-23b-3p,hsa-miR-6865-5p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-miR-34a-5p,hsa-let-7b-5p,hsa-miR-615-3p,hsa-miR-196b-5p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-30c-5p,hsa-miR-200c-3p,hsa-miR-17-5p,hsa-miR-210-3p,hsa-miR-455-3p,hsa-miR-190a-5p,hsa-miR-151a-3p,hsa-miR-23a-3p,hsa-miR-652-3p"
ENSG00000198938,MT-CO3,ENST00000362079.2,"hsa-let-7e-5p,hsa-miR-186-5p,hsa-miR-93-5p,hsa-miR-93-3p,hsa-miR-130a-3p,hsa-miR-6832-5p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-20a-5p,hsa-miR-296-3p,hsa-miR-26a-5p,hsa-miR-483-5p,hsa-miR-181b-5p,hsa-miR-106b-5p,hsa-miR-122-5p,hsa-miR-30d-5p,hsa-miR-32-5p,hsa-miR-503-5p,hsa-miR-320a-3p,hsa-miR-26b-5p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-140-5p,hsa-miR-196a-5p,hsa-miR-193a-3p,hsa-miR-6834-5p,hsa-miR-296-5p,hsa-miR-221-3p,hsa-miR-194-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-miR-28-3p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-miR-17-5p,hsa-miR-99b-5p,hsa-miR-181d-5p,hsa-miR-1303,hsa-miR-342-3p,hsa-miR-151a-3p,hsa-miR-455-5p,hsa-miR-652-3p"
ENSG00000198840,MT-ND3,ENST00000361227.2,"hsa-miR-760,hsa-let-7e-5p,hsa-miR-181b-5p,hsa-miR-186-5p,hsa-miR-17-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-320c,hsa-miR-500a-5p,hsa-miR-320a-3p,hsa-miR-194-5p,hsa-miR-20a-5p,hsa-miR-126-5p,hsa-miR-193b-3p,hsa-miR-100-5p"
ENSG00000212907,MT-ND4L,ENST00000361335.1,"hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-15a-5p,hsa-miR-28-5p,hsa-miR-194-5p,hsa-miR-27b-3p,hsa-miR-20a-5p,hsa-let-7a-5p,hsa-miR-26a-5p,hsa-let-7b-5p,hsa-miR-29c-3p,hsa-miR-196b-5p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-33a-5p,hsa-miR-122-5p,hsa-miR-17-5p,hsa-miR-15a-3p,hsa-miR-96-5p,hsa-miR-362-5p,hsa-miR-503-5p,hsa-miR-32-5p,hsa-miR-320a-3p,hsa-miR-29a-3p,hsa-miR-26b-5p,hsa-miR-18a-5p,hsa-miR-652-3p"
ENSG00000198886,MT-ND4,ENST00000361381.2,"hsa-let-7e-5p,hsa-miR-93-5p,hsa-miR-186-5p,hsa-miR-454-3p,hsa-miR-130a-3p,hsa-miR-30e-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-296-3p,hsa-miR-20a-5p,hsa-miR-26a-5p,hsa-miR-222-3p,hsa-miR-27a-3p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-106b-5p,hsa-miR-122-5p,hsa-miR-181a-5p,hsa-miR-130b-3p,hsa-miR-378a-3p,hsa-miR-19a-3p,hsa-miR-320a-3p,hsa-miR-29a-3p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-140-5p,hsa-miR-196a-5p,hsa-miR-374a-5p,hsa-miR-200b-3p,hsa-miR-574-5p,hsa-miR-320c,hsa-miR-185-5p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-miR-34a-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-miR-28-3p,hsa-miR-19b-3p,hsa-miR-320b,hsa-miR-92a-3p,hsa-miR-33a-5p,hsa-let-7c-5p,hsa-miR-17-5p,hsa-miR-374b-5p,hsa-let-7f-5p,hsa-miR-210-3p,hsa-miR-455-3p,hsa-miR-151a-3p,hsa-miR-101-3p,hsa-miR-652-3p"
ENSG00000198786,MT-ND5,ENST00000361567.2,"hsa-miR-760,hsa-let-7e-5p,hsa-miR-1180-3p,hsa-miR-186-5p,hsa-miR-93-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-30e-5p,hsa-miR-146a-5p,hsa-miR-107,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-27b-3p,hsa-miR-296-3p,hsa-miR-20a-5p,hsa-miR-142-3p,hsa-miR-27a-3p,hsa-miR-15b-5p,hsa-miR-222-3p,hsa-miR-26a-5p,hsa-miR-3162-5p,hsa-miR-103a-3p,hsa-miR-181b-5p,hsa-miR-1269a,hsa-miR-122-5p,hsa-miR-181a-5p,hsa-miR-130b-3p,hsa-miR-32-5p,hsa-miR-378a-3p,hsa-miR-19a-3p,hsa-miR-320a-3p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-769-5p,hsa-miR-196a-5p,hsa-miR-30e-3p,hsa-miR-1269b,hsa-miR-574-5p,hsa-miR-324-5p,hsa-miR-1296-5p,hsa-miR-194-5p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-miR-196b-5p,hsa-miR-22-3p,hsa-miR-19b-3p,hsa-miR-320b,hsa-miR-92a-3p,hsa-let-7c-5p,hsa-miR-17-5p,hsa-miR-210-3p,hsa-miR-1303,hsa-miR-937-5p,hsa-miR-190a-5p,hsa-miR-455-3p,hsa-miR-101-3p,hsa-miR-191-5p"
ENSG00000198695,MT-ND6,ENST00000361681.2,"hsa-miR-4454,hsa-miR-296-5p,hsa-miR-877-3p,hsa-miR-149-5p,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-130b-5p,hsa-miR-1229-3p,hsa-miR-328-3p,hsa-miR-30c-5p,hsa-miR-10a-5p,hsa-miR-483-3p,hsa-miR-99b-5p,hsa-miR-331-3p,hsa-miR-1249-3p,hsa-miR-193b-3p"
ENSG00000198727,MT-CYB,ENST00000361789.2,"hsa-let-7e-5p,hsa-miR-186-5p,hsa-miR-93-5p,hsa-miR-130a-3p,hsa-miR-454-3p,hsa-miR-146a-5p,hsa-miR-16-5p,hsa-miR-532-5p,hsa-miR-20a-5p,hsa-miR-26a-5p,hsa-miR-27a-3p,hsa-miR-181b-5p,hsa-miR-1269a,hsa-miR-1301-3p,hsa-miR-122-5p,hsa-miR-30d-5p,hsa-miR-130b-3p,hsa-miR-19a-3p,hsa-miR-29a-3p,hsa-miR-320a-3p,hsa-miR-18a-5p,hsa-miR-744-5p,hsa-miR-196a-5p,hsa-miR-320c,hsa-miR-185-5p,hsa-let-7a-5p,hsa-miR-19b-3p,hsa-miR-17-5p,hsa-miR-1303,hsa-miR-455-3p,hsa-miR-652-3p,hsa-miR-100-5p"
ENSG00000169789,PRY,ENST00000303728.5,-
ENSG00000169789,PRY,ENST00000477123.1,-
ENSG00000114374,USP9Y,ENST00000651177.1,-
ENSG00000114374,USP9Y,ENST00000338981.7,-
ENSG00000114374,USP9Y,ENST00000453031.1,-
ENSG00000169807,PRY2,ENST00000303804.5,-
ENSG00000169807,PRY2,ENST00000472391.1,-
ENSG00000198692,EIF1AY,ENST00000361365.7,-
ENSG00000198692,EIF1AY,ENST00000382772.3,-
ENSG00000183753,BPY2,ENST00000602732.5,-
ENSG00000183753,BPY2,ENST00000331070.8,-
ENSG00000183753,BPY2,ENST00000382585.2,-
ENSG00000236424,TSPY10,ENST00000428845.6,-
ENSG00000236424,TSPY10,ENST00000444056.1,-
ENSG00000258992,TSPY1,ENST00000423647.6,-
ENSG00000258992,TSPY1,ENST00000451548.6,-
ENSG00000244395,RBMY1D,ENST00000382653.6,-
ENSG00000244395,RBMY1D,ENST00000382680.5,-
ENSG00000244395,RBMY1D,ENST00000418956.2,-
ENSG00000169953,HSFY2,ENST00000344884.4,-
ENSG00000169953,HSFY2,ENST00000382852.1,-
ENSG00000169953,HSFY2,ENST00000304790.3,-
ENSG00000012817,KDM5D,ENST00000317961.9,-
ENSG00000012817,KDM5D,ENST00000541639.5,-
ENSG00000012817,KDM5D,ENST00000382806.6,-
ENSG00000012817,KDM5D,ENST00000440077.5,-
ENSG00000012817,KDM5D,ENST00000415360.1,-
ENSG00000012817,KDM5D,ENST00000447300.1,-
ENSG00000172468,HSFY1,ENST00000309834.8,-
ENSG00000172468,HSFY1,ENST00000338876.8,-
ENSG00000172468,HSFY1,ENST00000307393.3,-
ENSG00000172468,HSFY1,ENST00000382856.2,-
ENSG00000176679,TGIF2LY,ENST00000321217.5,-
ENSG00000176679,TGIF2LY,ENST00000559055.2,-
ENSG00000169800,RBMY1F,ENST00000303766.12,-
ENSG00000169800,RBMY1F,ENST00000454978.2,-
ENSG00000182415,CDY2A,ENST00000250838.6,-
ENSG00000185894,BPY2C,ENST00000382287.5,-
ENSG00000185894,BPY2C,ENST00000618574.1,-
ENSG00000185894,BPY2C,ENST00000602680.1,-
ENSG00000205916,DAZ4,ENST00000415508.6,-
ENSG00000205916,DAZ4,ENST00000382314.6,-
ENSG00000205916,DAZ4,ENST00000449750.7,-
ENSG00000205916,DAZ4,ENST00000682740.1,-
ENSG00000205916,DAZ4,ENST00000382432.9,-
ENSG00000205916,DAZ4,ENST00000440066.6,-
ENSG00000205916,DAZ4,ENST00000382296.4,-
ENSG00000205916,DAZ4,ENST00000634662.1,-
ENSG00000129873,CDY2B,ENST00000382867.4,-
ENSG00000184895,SRY,ENST00000383070.2,-
ENSG00000129824,RPS4Y1,ENST00000250784.13,-
ENSG00000129824,RPS4Y1,ENST00000430575.1,-
ENSG00000067646,ZFY,ENST00000383052.5,-
ENSG00000067646,ZFY,ENST00000155093.8,-
ENSG00000067646,ZFY,ENST00000625061.3,-
ENSG00000067646,ZFY,ENST00000443793.1,-
ENSG00000067646,ZFY,ENST00000449237.4,-
ENSG00000067048,DDX3Y,ENST00000360160.8,-
ENSG00000067048,DDX3Y,ENST00000454054.5,-
ENSG00000067048,DDX3Y,ENST00000336079.8,-
ENSG00000067048,DDX3Y,ENST00000440554.1,-
ENSG00000183878,UTY,ENST00000682216.1,-
ENSG00000183878,UTY,ENST00000684226.1,-
ENSG00000183878,UTY,ENST00000682761.1,-
ENSG00000183878,UTY,ENST00000682112.1,-
ENSG00000183878,UTY,ENST00000331397.8,-
ENSG00000183878,UTY,ENST00000545955.6,-
ENSG00000183878,UTY,ENST00000382896.9,-
ENSG00000183878,UTY,ENST00000682913.1,-
ENSG00000183878,UTY,ENST00000537580.6,-
ENSG00000183878,UTY,ENST00000538878.6,-
ENSG00000183878,UTY,ENST00000540140.6,-
ENSG00000183878,UTY,ENST00000612274.5,-
ENSG00000183878,UTY,ENST00000617789.5,-
ENSG00000183878,UTY,ENST00000618474.5,-
ENSG00000183878,UTY,ENST00000624098.3,-
ENSG00000183878,UTY,ENST00000362096.8,-
ENSG00000183878,UTY,ENST00000329134.9,hsa-miR-18a-5p
ENSG00000183878,UTY,ENST00000478900.5,-
ENSG00000183878,UTY,ENST00000382893.2,-
ENSG00000154620,TMSB4Y,ENST00000284856.4,-
ENSG00000129864,VCY,ENST00000250825.5,-
ENSG00000187191,DAZ3,ENST00000382365.7,-
ENSG00000187191,DAZ3,ENST00000315357.9,-
ENSG00000187191,DAZ3,ENST00000446723.4,-
ENSG00000188120,DAZ1,ENST00000405239.6,-
ENSG00000188120,DAZ1,ENST00000540248.5,-
ENSG00000188120,DAZ1,ENST00000426000.6,-
ENSG00000099721,AMELY,ENST00000651267.2,-
ENSG00000099721,AMELY,ENST00000383036.1,-
ENSG00000092377,TBL1Y,ENST00000346432.3,-
ENSG00000092377,TBL1Y,ENST00000355162.6,-
ENSG00000092377,TBL1Y,ENST00000383032.6,-
ENSG00000092377,TBL1Y,ENST00000651523.1,-
ENSG00000205944,DAZ2,ENST00000382449.5,-
ENSG00000205944,DAZ2,ENST00000382440.6,-
ENSG00000205944,DAZ2,ENST00000382433.4,-
ENSG00000168757,TSPY2,ENST00000429039.5,-
ENSG00000168757,TSPY2,ENST00000320701.9,-
ENSG00000168757,TSPY2,ENST00000383042.1,-
ENSG00000229549,TSPY8,ENST00000287721.13,-
ENSG00000229549,TSPY8,ENST00000383005.7,-
ENSG00000229549,TSPY8,ENST00000383000.1,-
ENSG00000228927,TSPY3,ENST00000457222.6,-
ENSG00000228927,TSPY3,ENST00000440483.4,-
ENSG00000228927,TSPY3,ENST00000424594.1,-
ENSG00000242389,RBMY1E,ENST00000358944.8,-
ENSG00000242389,RBMY1E,ENST00000382658.5,-
ENSG00000242389,RBMY1E,ENST00000382659.7,-
ENSG00000165246,NLGN4Y,ENST00000643089.1,-
ENSG00000165246,NLGN4Y,ENST00000382872.5,-
ENSG00000165246,NLGN4Y,ENST00000355905.6,-
ENSG00000165246,NLGN4Y,ENST00000382868.5,-
ENSG00000165246,NLGN4Y,ENST00000645399.1,-
ENSG00000165246,NLGN4Y,ENST00000684976.1,-
ENSG00000165246,NLGN4Y,ENST00000339174.9,-
ENSG00000165246,NLGN4Y,ENST00000413217.1,-
ENSG00000129862,VCY1B,ENST00000250823.5,-
ENSG00000280969,RPS4Y2,ENST00000629237.2,-
ENSG00000099715,PCDH11Y,ENST00000333703.8,-
ENSG00000099715,PCDH11Y,ENST00000698927.1,-
ENSG00000099715,PCDH11Y,ENST00000622698.4,-
ENSG00000099715,PCDH11Y,ENST00000698851.1,-
ENSG00000099715,PCDH11Y,ENST00000621505.1,-
ENSG00000099715,PCDH11Y,ENST00000215473.7,-
ENSG00000099715,PCDH11Y,ENST00000362095.9,-
ENSG00000099715,PCDH11Y,ENST00000400457.3,-
ENSG00000172352,CDY1B,ENST00000306882.4,-
ENSG00000172352,CDY1B,ENST00000382407.1,-
ENSG00000183795,BPY2B,ENST00000602770.5,-
ENSG00000183795,BPY2B,ENST00000382392.5,-
ENSG00000183795,BPY2B,ENST00000615850.1,-
ENSG00000172288,CDY1,ENST00000306609.5,-
ENSG00000172288,CDY1,ENST00000361963.3,-
ENSG00000233803,TSPY4,ENST00000426950.6,-
ENSG00000233803,TSPY4,ENST00000640033.1,-
ENSG00000233803,TSPY4,ENST00000383008.1,-
ENSG00000226941,RBMY1J,ENST00000250831.6,-
ENSG00000238074,TSPY9,ENST00000440215.5,-
ENSG00000242875,RBMY1B,ENST00000383020.7,-
ENSG00000242875,RBMY1B,ENST00000382639.7,-
ENSG00000234414,RBMY1A1,ENST00000382707.6,-
ENSG00000234414,RBMY1A1,ENST00000361046.4,-
ENSG00000102699,PARP4,ENST00000381989.4,hsa-miR-532-5p
ENSG00000027001,MIPEP,ENST00000382172.4,-
ENSG00000102781,KATNAL1,ENST00000380615.8,"hsa-let-7d-5p,hsa-let-7a-5p"
ENSG00000102781,KATNAL1,ENST00000380617.7,-
ENSG00000102781,KATNAL1,ENST00000414289.5,-
ENSG00000102781,KATNAL1,ENST00000441394.1,-
ENSG00000236444,UBE2L5,ENST00000638137.1,-
ENSG00000236444,UBE2L5,ENST00000635918.2,-
ENSG00000236444,UBE2L5,ENST00000436446.1,-
ENSG00000133101,CCNA1,ENST00000630422.2,-
ENSG00000133101,CCNA1,ENST00000440264.5,-
ENSG00000133101,CCNA1,ENST00000255465.7,-
ENSG00000133101,CCNA1,ENST00000625767.1,-
ENSG00000132952,USPL1,ENST00000255304.9,"hsa-miR-320a-3p,hsa-miR-324-5p"
ENSG00000132952,USPL1,ENST00000614860.1,-
ENSG00000183463,URAD,ENST00000332715.6,-
ENSG00000189403,HMGB1,ENST00000341423.10,"hsa-miR-328-3p,hsa-let-7e-5p,hsa-miR-92a-3p,hsa-miR-93-5p,hsa-miR-148b-3p,hsa-miR-122-5p,hsa-miR-877-3p,hsa-miR-148a-3p,hsa-miR-26b-5p,hsa-let-7b-5p,hsa-miR-652-3p"
ENSG00000189403,HMGB1,ENST00000405805.5,hsa-miR-122-5p
ENSG00000189403,HMGB1,ENST00000339872.8,-
ENSG00000189403,HMGB1,ENST00000399489.5,-
ENSG00000189403,HMGB1,ENST00000399494.5,-
ENSG00000189403,HMGB1,ENST00000326004.4,-
ENSG00000154646,TMPRSS15,ENST00000284885.8,-
ENSG00000154646,TMPRSS15,ENST00000422787.1,-
ENSG00000154646,TMPRSS15,ENST00000474775.1,-
ENSG00000120669,SOHLH2,ENST00000379881.8,-
ENSG00000120669,SOHLH2,ENST00000317764.6,-
ENSG00000133114,GPALPP1,ENST00000611650.1,-
ENSG00000133114,GPALPP1,ENST00000379151.9,hsa-miR-26a-5p
ENSG00000133114,GPALPP1,ENST00000361121.6,-
ENSG00000133114,GPALPP1,ENST00000497558.5,-
ENSG00000133114,GPALPP1,ENST00000357537.4,-
ENSG00000273167,,ENST00000382141.4,-
ENSG00000083635,NUFIP1,ENST00000379161.5,hsa-miR-130a-3p
ENSG00000154639,CXADR,ENST00000284878.12,"hsa-miR-342-3p,hsa-miR-320b,hsa-miR-320a-3p,hsa-miR-296-3p,hsa-miR-222-3p,hsa-miR-26a-5p"
ENSG00000154639,CXADR,ENST00000400166.5,-
ENSG00000154639,CXADR,ENST00000356275.10,-
ENSG00000154639,CXADR,ENST00000400165.5,-
ENSG00000154639,CXADR,ENST00000400169.1,-
ENSG00000102753,KPNA3,ENST00000261667.8,"hsa-miR-1246,hsa-miR-92a-3p,hsa-miR-195-5p,hsa-miR-26a-5p"
ENSG00000102753,KPNA3,ENST00000436760.1,-
ENSG00000277282,IGHV1OR21-1,ENST00000622028.1,-
ENSG00000165475,CRYL1,ENST00000643035.1,-
ENSG00000165475,CRYL1,ENST00000644593.1,-
ENSG00000165475,CRYL1,ENST00000298248.12,-
ENSG00000165475,CRYL1,ENST00000382812.5,-
ENSG00000165475,CRYL1,ENST00000643750.1,-
ENSG00000165475,CRYL1,ENST00000644153.1,-
ENSG00000165475,CRYL1,ENST00000643887.1,-
ENSG00000165475,CRYL1,ENST00000644167.1,-
ENSG00000165475,CRYL1,ENST00000480748.2,-
ENSG00000165475,CRYL1,ENST00000646414.1,-
ENSG00000156253,RWDD2B,ENST00000493196.2,-
ENSG00000165556,CDX2,ENST00000381020.8,hsa-miR-194-5p
ENSG00000152520,PAN3,ENST00000380958.8,-
ENSG00000152520,PAN3,ENST00000399613.1,-
ENSG00000156265,MAP3K7CL,ENST00000419845.5,-
ENSG00000156265,MAP3K7CL,ENST00000341618.8,-
ENSG00000156265,MAP3K7CL,ENST00000399935.6,-
ENSG00000156265,MAP3K7CL,ENST00000399934.5,-
ENSG00000156265,MAP3K7CL,ENST00000399947.6,-
ENSG00000156265,MAP3K7CL,ENST00000286791.9,-
ENSG00000156265,MAP3K7CL,ENST00000339024.8,-
ENSG00000156265,MAP3K7CL,ENST00000545939.5,-
ENSG00000156265,MAP3K7CL,ENST00000399926.5,-
ENSG00000156265,MAP3K7CL,ENST00000399928.6,-
ENSG00000156265,MAP3K7CL,ENST00000399925.5,-
ENSG00000156265,MAP3K7CL,ENST00000451489.1,-
ENSG00000102547,CAB39L,ENST00000355854.8,-
ENSG00000102547,CAB39L,ENST00000409308.6,hsa-miR-10a-5p
ENSG00000102547,CAB39L,ENST00000610540.4,-
ENSG00000102547,CAB39L,ENST00000347776.9,-
ENSG00000102547,CAB39L,ENST00000409130.5,-
ENSG00000102547,CAB39L,ENST00000425242.5,-
ENSG00000102547,CAB39L,ENST00000410043.5,-
ENSG00000102547,CAB39L,ENST00000457041.5,-
ENSG00000102547,CAB39L,ENST00000413278.5,-
ENSG00000102547,CAB39L,ENST00000409082.5,-
ENSG00000102743,SLC25A15,ENST00000338625.9,-
ENSG00000102743,SLC25A15,ENST00000417731.5,-
ENSG00000102743,SLC25A15,ENST00000470509.1,-
ENSG00000120675,DNAJC15,ENST00000379221.4,-
ENSG00000132975,GPR12,ENST00000405846.5,-
ENSG00000132975,GPR12,ENST00000381436.2,-
ENSG00000188342,GTF2F2,ENST00000340473.8,hsa-miR-30c-5p
ENSG00000142207,URB1,ENST00000382751.4,"hsa-miR-760,hsa-miR-17-5p,hsa-miR-6893-3p,hsa-miR-106b-3p,hsa-miR-744-5p"
ENSG00000132970,WASF3,ENST00000335327.6,-
ENSG00000132970,WASF3,ENST00000361042.8,-
ENSG00000132970,WASF3,ENST00000671038.1,-
ENSG00000232263,KRTAP25-1,ENST00000416044.1,-
ENSG00000154721,JAM2,ENST00000480456.6,-
ENSG00000154721,JAM2,ENST00000400532.5,-
ENSG00000154721,JAM2,ENST00000312957.9,-
ENSG00000154721,JAM2,ENST00000460679.5,-
ENSG00000133110,POSTN,ENST00000541179.5,-
ENSG00000133110,POSTN,ENST00000379749.8,-
ENSG00000133110,POSTN,ENST00000379747.9,-
ENSG00000133110,POSTN,ENST00000541481.5,-
ENSG00000133110,POSTN,ENST00000379743.8,-
ENSG00000133110,POSTN,ENST00000379742.4,-
ENSG00000156256,USP16,ENST00000399975.7,hsa-miR-30a-5p
ENSG00000156256,USP16,ENST00000334352.8,"hsa-miR-30d-5p,hsa-miR-320a-3p"
ENSG00000156256,USP16,ENST00000399973.1,-
ENSG00000156256,USP16,ENST00000399976.7,-
ENSG00000156282,CLDN17,ENST00000286808.5,-
ENSG00000166265,CYYR1,ENST00000299340.9,-
ENSG00000166265,CYYR1,ENST00000652641.2,-
ENSG00000166265,CYYR1,ENST00000400043.3,-
ENSG00000243927,MRPS6,ENST00000399312.3,"hsa-miR-17-5p,hsa-miR-92a-3p"
ENSG00000188694,KRTAP24-1,ENST00000340345.6,-
ENSG00000198743,SLC5A3,ENST00000381151.5,"hsa-miR-183-5p,hsa-miR-17-5p,hsa-miR-103a-3p,hsa-miR-877-3p"
ENSG00000159259,CHAF1B,ENST00000314103.6,"hsa-miR-222-3p,hsa-miR-142-3p,hsa-miR-615-3p"
ENSG00000156304,SCAF4,ENST00000286835.12,"hsa-miR-25-3p,hsa-miR-16-5p"
