gene ID,gene name,mRNA,miRNAs
WBGene00000012,abf-1,C50F2.9.1,-
WBGene00000013,abf-2,C50F2.10.1,"cel-miR-45-3p,cel-miR-44-3p,cel-miR-64-5p"
WBGene00000014,abf-3,F54B8.5.1,"cel-miR-34-3p,cel-miR-34-5p"
WBGene00000015,abf-4,Y38H6C.22.1,"cel-miR-82-3p,cel-miR-60-3p,cel-miR-42-3p,cel-miR-63-3p,cel-miR-81-3p"
WBGene00000016,abf-5,T22H6.5.1,"cel-miR-788-5p,cel-miR-245-3p"
WBGene00000017,abf-6,T22H6.7.1,"cel-miR-52-5p,cel-miR-54-3p,cel-miR-60-3p,cel-miR-229-5p,cel-miR-786-3p,cel-miR-64-5p,cel-miR-235-3p,cel-miR-42-3p,cel-miR-238-3p,cel-miR-53-5p"
WBGene00000018,abl-1,M79.1a.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-49-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-62,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-5595-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-77-3p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-35-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000018,abl-1,M79.1b.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-49-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-62,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-5595-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-77-3p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-35-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000018,abl-1,M79.1c.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-49-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-5595-3p,cel-miR-65-5p,cel-miR-53-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-77-3p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-35-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000018,abl-1,M79.1d.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-49-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-62,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-5595-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-77-3p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-35-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000018,abl-1,M79.1e.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-49-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-62,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-5595-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-77-3p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-35-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00000018,abl-1,M79.1f.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-74-3p,cel-miR-787-3p,cel-miR-37-3p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-39-3p,cel-miR-84-5p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-58a-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-71-3p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-5595-3p,cel-miR-2-3p,cel-miR-65-5p,cel-miR-53-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-48-3p,cel-miR-355-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-72-3p,cel-miR-34-3p,cel-miR-45-3p,cel-miR-35-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
