gene ID,gene name,mRNA,miRNAs
WBGene00003738,nid-1,F54F3.1a.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-55-3p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-8191-5p,cel-miR-82-3p,cel-miR-50-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-66-5p,cel-miR-34-5p,cel-miR-1829a-5p,cel-miR-54-3p,cel-miR-53-5p,cel-miR-238-3p,cel-miR-77-3p,cel-miR-52-5p,cel-miR-45-3p,cel-miR-48-5p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-65-5p"
WBGene00003738,nid-1,F54F3.1b.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-55-3p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-8191-5p,cel-miR-82-3p,cel-miR-50-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-66-5p,cel-miR-34-5p,cel-miR-1829a-5p,cel-miR-54-3p,cel-miR-53-5p,cel-miR-238-3p,cel-miR-77-3p,cel-miR-52-5p,cel-miR-45-3p,cel-miR-48-5p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-65-5p"
WBGene00003738,nid-1,F54F3.1c.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-55-3p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-8191-5p,cel-miR-82-3p,cel-miR-50-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-66-5p,cel-miR-34-5p,cel-miR-1829a-5p,cel-miR-54-3p,cel-miR-53-5p,cel-miR-238-3p,cel-miR-52-5p,cel-miR-45-3p,cel-miR-48-5p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-65-5p"
WBGene00003739,nlp-1,C01C4.1.1,"cel-miR-72-5p,cel-miR-52-5p,cel-miR-229-3p,cel-miR-2-3p,cel-miR-60-3p,cel-miR-64-5p,cel-miR-235-3p"
WBGene00003740,nlp-2,T24D8.5.1,"cel-miR-44-3p,cel-miR-80-3p,cel-miR-58a-3p,cel-miR-45-3p"
WBGene00003741,nlp-3,F48C11.3.1,"cel-miR-228-5p,cel-miR-1-3p,cel-miR-232-3p,cel-miR-80-3p,cel-miR-56-3p,cel-miR-48-5p,cel-miR-54-3p,cel-miR-238-3p"
WBGene00003742,nlp-4,F59C6.6.1,"cel-miR-51-5p,cel-miR-52-5p,cel-miR-46-3p,cel-miR-229-5p,cel-miR-53-5p,cel-miR-70-3p"
WBGene00003743,nlp-5,F35C11.1.1,"cel-miR-51-5p,cel-miR-52-5p,cel-miR-54-3p,cel-miR-64-5p,cel-miR-235-3p"
WBGene00003743,nlp-5,F35C11.1.2,"cel-miR-235-3p,cel-miR-55-3p,cel-miR-64-5p"
WBGene00003744,nlp-6,T23E7.4a.1,"cel-miR-38-3p,cel-miR-52-5p,cel-miR-72-5p,cel-miR-124-3p,cel-miR-235-3p,cel-miR-45-3p,cel-miR-44-3p"
WBGene00003744,nlp-6,T23E7.4b.1,cel-miR-48-5p
WBGene00003744,nlp-6,T23E7.4b.2,"cel-miR-52-5p,cel-miR-80-3p,cel-miR-74-3p,cel-miR-48-5p,cel-miR-231-3p,cel-miR-79-3p,cel-miR-47-3p,cel-lin-4-5p,cel-miR-8187-5p"
WBGene00003745,nlp-7,F18E9.2a.1,"cel-miR-228-5p,cel-miR-52-5p,cel-miR-62"
WBGene00003745,nlp-7,F18E9.2b.1,"cel-miR-228-5p,cel-miR-52-5p,cel-miR-62"
WBGene00003746,nlp-8,D2005.2.1,"cel-miR-52-5p,cel-miR-58a-3p,cel-miR-228-5p,cel-miR-54-3p,cel-miR-48-5p,cel-let-7-5p,cel-miR-235-3p,cel-miR-71-5p"
WBGene00003747,nlp-9,E03D2.2a.1,"cel-miR-233-3p,cel-miR-82-3p,cel-miR-58a-3p,cel-miR-228-5p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-47-3p,cel-miR-70-3p,cel-miR-71-5p"
WBGene00003747,nlp-9,E03D2.2b.1,"cel-miR-233-3p,cel-miR-82-3p,cel-miR-228-5p,cel-miR-58a-3p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-47-3p,cel-miR-2-3p,cel-miR-70-3p,cel-miR-71-5p"
WBGene00003748,nlp-10,F37A8.4.1,"cel-miR-233-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-44-3p,cel-miR-74-3p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-50-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-124-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-65-5p,cel-miR-788-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-86-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-252-5p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00003749,nlp-11,ZK1320.10.1,"cel-miR-72-5p,cel-miR-47-3p,cel-miR-2-3p,cel-miR-54-3p,cel-miR-49-3p,cel-miR-244-5p,cel-miR-70-3p"
WBGene00003750,nlp-12,M01D7.5.1,"cel-miR-84-5p,cel-miR-228-5p"
WBGene00003751,nlp-13,E03D2.1.1,"cel-miR-84-5p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-231-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-81-3p,cel-miR-71-5p"
WBGene00003752,nlp-14,D1009.4.1,"cel-miR-52-5p,cel-miR-82-3p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-90-3p,cel-miR-80-3p,cel-miR-64-3p,cel-miR-8187-3p,cel-miR-64-5p,cel-miR-8188-5p,cel-miR-81-3p,cel-miR-71-5p"
WBGene00003753,nlp-15,CC4.2.1,"cel-miR-52-5p,cel-let-7-3p,cel-miR-72-5p,cel-miR-58a-3p,cel-miR-45-3p,cel-miR-44-3p,cel-miR-244-5p,cel-miR-86-5p,cel-let-7-5p,cel-miR-240-3p,cel-miR-90-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-71-5p"
WBGene00003754,nlp-16,T13A10.5a.1,"cel-miR-788-5p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-48-5p,cel-let-7-5p,cel-miR-90-3p,cel-miR-236-3p,cel-miR-53-5p,cel-miR-84-5p"
WBGene00003754,nlp-16,T13A10.5b.1,"cel-miR-788-5p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-48-5p,cel-let-7-5p,cel-miR-90-3p,cel-miR-236-3p,cel-miR-53-5p,cel-miR-84-5p"
WBGene00003755,nlp-17,Y45F10A.5.1,"cel-miR-52-5p,cel-miR-791-3p,cel-miR-60-3p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-238-3p,cel-miR-53-5p,cel-miR-71-5p"
WBGene00003756,nlp-18,F33A8.2.1,"cel-miR-72-5p,cel-miR-52-5p,cel-miR-1-3p,cel-let-7-5p,cel-miR-124-3p,cel-miR-80-3p"
WBGene00003757,nlp-19,K09C8.6.1,"cel-miR-51-5p,cel-miR-52-5p,cel-miR-54-3p,cel-miR-60-3p,cel-miR-45-3p,cel-miR-44-3p,cel-miR-56-3p,cel-miR-65-5p,cel-miR-235-3p,cel-miR-53-5p"
WBGene00003758,nlp-20,F45E4.8.1,"cel-miR-52-5p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-46-3p,cel-miR-64-5p,cel-miR-80-3p,cel-miR-46-5p"
WBGene00003759,nlp-21,Y47D3B.2a.1,"cel-miR-51-5p,cel-miR-86-5p,cel-miR-47-3p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-56-3p"
WBGene00003759,nlp-21,Y47D3B.2b.1,"cel-miR-51-5p,cel-miR-43-3p,cel-miR-56-3p,cel-miR-86-5p,cel-miR-47-3p,cel-miR-235-3p,cel-miR-54-3p,cel-miR-70-3p"
WBGene00003760,nlp-22,T24D8.3.1,"cel-miR-47-3p,cel-miR-1-3p,cel-miR-90-3p,cel-miR-80-3p,cel-miR-83-3p"
WBGene00003761,nlp-23,T24D8.4.1,"cel-miR-51-5p,cel-miR-52-5p,cel-miR-75-3p,cel-miR-73-3p,cel-miR-229-5p,cel-miR-47-3p,cel-miR-2-3p,cel-miR-54-3p,cel-miR-238-3p"
WBGene00003762,nlp-24,F35B12.7.1,"cel-miR-51-5p,cel-miR-233-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-80-3p,cel-miR-44-3p,cel-miR-74-3p,cel-miR-86-5p,cel-miR-54-3p,cel-miR-239a-5p,cel-miR-53-5p,cel-miR-235-3p,cel-miR-84-5p,cel-miR-238-3p,cel-miR-71-5p,cel-miR-253-3p,cel-miR-52-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-45-3p,cel-miR-50-5p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-64-5p,cel-miR-65-5p,cel-miR-87-3p"
WBGene00003763,nlp-25,Y43F8C.1.1,"cel-miR-788-5p,cel-miR-245-3p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-229-5p,cel-miR-236-5p,cel-miR-2-3p,cel-miR-8187-3p,cel-miR-8188-5p,cel-miR-42-3p,cel-miR-238-3p"
WBGene00003764,nlp-26,Y43F8C.2.1,"cel-miR-52-5p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-73-3p,cel-miR-235-3p,cel-miR-80-3p,cel-miR-65-5p"
WBGene00003765,nlp-27,B0213.2.1,"cel-miR-51-5p,cel-miR-52-5p,cel-miR-1-3p,cel-miR-229-5p,cel-miR-46-3p,cel-miR-235-3p,cel-miR-54-3p,cel-miR-53-5p,cel-miR-70-3p"
WBGene00003766,nlp-28,B0213.3.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-52-5p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-53-5p"
WBGene00003767,nlp-29,B0213.4.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-80-3p,cel-miR-63-3p,cel-miR-62,cel-miR-235-3p,cel-miR-54-3p,cel-miR-53-5p"
WBGene00003768,nlp-30,B0213.5.1,"cel-miR-51-5p,cel-miR-72-5p,cel-miR-58a-3p,cel-miR-79-3p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-54-3p,cel-miR-235-3p"
WBGene00003769,nlp-31,B0213.6.1,"cel-miR-51-5p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-45-3p,cel-miR-44-3p,cel-miR-46-3p,cel-miR-247-3p,cel-miR-235-3p,cel-miR-54-3p,cel-miR-53-5p"
WBGene00003770,nlp-32,F30H5.2.1,"cel-miR-54-3p,cel-miR-235-3p,cel-miR-51-5p"
WBGene00003771,nlp-33,T19C4.7.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-72-5p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-82-3p,cel-miR-73-3p,cel-miR-229-5p,cel-miR-44-3p,cel-miR-74-3p,cel-miR-63-3p,cel-miR-66-5p,cel-miR-80-3p,cel-miR-67-3p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-53-5p,cel-miR-84-5p,cel-miR-71-5p,cel-miR-52-5p,cel-miR-245-3p,cel-miR-228-5p,cel-miR-45-3p,cel-miR-56-3p,cel-miR-48-5p,cel-miR-80-5p,cel-miR-46-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p,cel-miR-65-5p"
WBGene00003772,nlr-1,F20B10.1.1,"cel-miR-788-5p,cel-miR-58a-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-73-3p,cel-miR-229-5p,cel-miR-63-3p,cel-miR-80-3p,cel-miR-86-5p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-52-5p,cel-miR-75-3p,cel-miR-228-5p,cel-miR-56-3p,cel-miR-244-5p,cel-miR-255-3p,cel-miR-47-3p,cel-miR-46-3p,cel-let-7-5p,cel-miR-2-3p,cel-miR-64-5p,cel-miR-53-5p"
WBGene00003773,nlt-1,ZK892.2.1,"cel-miR-58a-3p,cel-miR-228-5p,cel-miR-60-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-47-3p,cel-miR-235-3p,cel-miR-70-3p"
WBGene00003774,nmr-1,F07F6.6.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-72-5p,cel-miR-58a-3p,cel-miR-229-5p,cel-miR-44-3p,cel-miR-80-3p,cel-miR-86-5p,cel-miR-37-3p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-795-5p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-71-3p,cel-miR-45-3p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-239b-3p,cel-miR-2-3p,cel-lin-4-5p"
WBGene00003775,nmr-2,T01C3.10a.1,"cel-miR-51-5p,cel-miR-58a-5p,cel-miR-1-3p,cel-miR-232-3p,cel-miR-58a-3p,cel-miR-45-3p,cel-miR-229-5p,cel-miR-44-3p,cel-miR-239a-5p,cel-miR-238-3p,cel-miR-71-5p"
WBGene00003775,nmr-2,T01C3.10b.1,"cel-miR-51-5p,cel-miR-232-3p,cel-miR-45-3p,cel-miR-239a-5p,cel-miR-229-5p,cel-miR-44-3p,cel-miR-71-5p"
WBGene00003776,nmy-1,F52B10.1a.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-46-5p,cel-miR-74-3p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-232-3p,cel-miR-56-3p,cel-miR-62,cel-miR-50-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-788-5p,cel-miR-51-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-788-3p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-66-5p,cel-miR-86-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-61-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-77-3p,cel-miR-45-3p,cel-miR-64-5p,cel-miR-90-3p"
WBGene00003776,nmy-1,F52B10.1b.1,"cel-miR-55-3p,cel-miR-72-5p,cel-miR-1-3p,cel-miR-233-3p,cel-miR-60-3p,cel-miR-63-3p,cel-miR-44-3p,cel-miR-46-5p,cel-miR-74-3p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-232-3p,cel-miR-56-3p,cel-miR-62,cel-miR-50-5p,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-788-5p,cel-miR-51-5p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-788-3p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-66-5p,cel-miR-86-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-61-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-77-3p,cel-miR-45-3p,cel-miR-64-5p,cel-miR-90-3p"
WBGene00003777,nmy-2,F20G4.3.1,"cel-miR-72-5p,cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-241-5p,cel-miR-44-3p,cel-miR-63-3p,cel-miR-54-3p,cel-miR-81-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-48-5p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-65-5p,cel-miR-788-5p,cel-miR-51-5p,cel-miR-82-3p,cel-miR-58a-3p,cel-miR-229-5p,cel-miR-80-3p,cel-miR-86-5p,cel-miR-241-3p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-let-7-5p,cel-miR-64-5p,cel-miR-90-3p"
WBGene00003778,nnt-1,C15H9.1.1,"cel-miR-51-5p,cel-miR-788-5p,cel-miR-55-3p,cel-miR-58a-3p,cel-miR-82-3p,cel-miR-73-3p,cel-miR-229-5p,cel-miR-46-5p,cel-miR-4806-3p,cel-miR-86-5p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-239a-5p,cel-miR-53-5p,cel-miR-235-3p,cel-miR-81-3p,cel-miR-238-3p,cel-miR-57-5p,cel-miR-52-5p,cel-miR-34-3p,cel-miR-228-5p,cel-miR-50-5p,cel-miR-56-3p,cel-miR-47-5p,cel-miR-48-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p,cel-miR-65-5p"
WBGene00003779,nob-1,Y75B8A.2a.1,"cel-miR-57-5p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-228-5p,cel-miR-1-3p,cel-miR-80-3p,cel-miR-47-5p,cel-miR-48-5p,cel-miR-54-3p,cel-lin-4-5p,cel-miR-84-5p"
WBGene00003779,nob-1,Y75B8A.2b.1,"cel-miR-54-3p,cel-miR-48-5p,cel-miR-58a-3p"
WBGene00003783,nos-1,R03D7.7.1,"cel-miR-788-5p,cel-miR-51-5p,cel-miR-52-5p,cel-miR-60-3p,cel-miR-241-5p,cel-miR-80-3p,cel-miR-2211-3p,cel-miR-86-5p,cel-miR-81-3p,cel-miR-71-5p"
WBGene00003784,nos-2,ZK1127.1.1,"cel-miR-788-5p,cel-miR-51-5p,cel-miR-73-3p,cel-miR-241-5p,cel-miR-229-5p,cel-miR-34-5p,cel-miR-54-3p,cel-miR-238-3p,cel-miR-77-3p,cel-miR-52-5p,cel-miR-75-3p,cel-miR-56-3p,cel-miR-47-3p,cel-let-7-5p,cel-lin-4-5p,cel-miR-53-5p,cel-miR-2209b-5p"
WBGene00003785,nos-3,Y53C12B.3a.1,"cel-miR-230-3p,cel-miR-72-5p,cel-miR-82-3p,cel-miR-1-3p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-797-5p,cel-miR-80-3p,cel-miR-63-3p,cel-miR-66-5p,cel-miR-229-5p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-81-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-4937,cel-miR-52-5p,cel-miR-228-5p,cel-miR-48-5p,cel-miR-47-3p,cel-let-7-5p,cel-miR-53-5p"
WBGene00003785,nos-3,Y53C12B.3b.1,"cel-miR-230-3p,cel-miR-72-5p,cel-miR-82-3p,cel-miR-1-3p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-797-5p,cel-miR-80-3p,cel-miR-63-3p,cel-miR-66-5p,cel-miR-229-5p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-81-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-4937,cel-miR-52-5p,cel-miR-228-5p,cel-miR-48-5p,cel-miR-47-3p,cel-let-7-5p,cel-miR-90-3p,cel-miR-53-5p"
WBGene00003785,nos-3,Y53C12B.3c.1,"cel-miR-230-3p,cel-miR-72-5p,cel-miR-82-3p,cel-miR-1-3p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-797-5p,cel-miR-80-3p,cel-miR-63-3p,cel-miR-66-5p,cel-miR-229-5p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-81-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-4937,cel-miR-52-5p,cel-miR-228-5p,cel-miR-244-5p,cel-miR-48-5p,cel-miR-47-3p,cel-let-7-5p,cel-miR-53-5p"
WBGene00003785,nos-3,Y53C12B.3d.1,"cel-miR-230-3p,cel-miR-72-5p,cel-miR-82-3p,cel-miR-1-3p,cel-miR-58a-3p,cel-miR-60-3p,cel-miR-797-5p,cel-miR-80-3p,cel-miR-63-3p,cel-miR-66-5p,cel-miR-229-5p,cel-miR-54-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-81-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-4937,cel-miR-52-5p,cel-miR-228-5p,cel-miR-48-5p,cel-miR-47-3p,cel-let-7-5p,cel-miR-53-5p"
WBGene00003785,nos-3,Y53C12B.3e.1,"cel-miR-230-3p,cel-miR-52-5p,cel-miR-58a-3p,cel-miR-228-5p,cel-miR-1-3p,cel-miR-229-5p,cel-miR-235-3p,cel-miR-81-3p,cel-miR-77-3p"
WBGene00003786,npa-1,VC5.3a.1,"cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-44-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-62,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-230-3p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00003786,npa-1,VC5.3b.1,"cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-44-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-62,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-230-3p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00003786,npa-1,VC5.3b.2,"cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-44-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-62,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-230-3p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00003786,npa-1,VC5.3b.3,"cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-44-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-62,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-230-3p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00003786,npa-1,VC5.3b.4,"cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-44-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-62,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-230-3p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00003786,npa-1,VC5.3b.5,"cel-miR-72-5p,cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-44-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-62,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-230-3p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
WBGene00003786,npa-1,VC5.3b.6,"cel-miR-55-3p,cel-miR-1-3p,cel-miR-60-3p,cel-miR-44-3p,cel-miR-54-3p,cel-miR-84-5p,cel-miR-52-5p,cel-miR-228-5p,cel-miR-62,cel-miR-48-5p,cel-miR-47-3p,cel-miR-46-3p,cel-miR-2-3p,cel-miR-42-3p,cel-miR-53-5p,cel-miR-65-5p,cel-miR-51-5p,cel-miR-788-5p,cel-miR-230-3p,cel-miR-58a-3p,cel-miR-80-3p,cel-miR-229-5p,cel-miR-237-5p,cel-miR-79-3p,cel-miR-235-3p,cel-miR-238-3p,cel-miR-70-3p,cel-miR-77-3p,cel-miR-71-5p,cel-miR-57-5p,cel-miR-45-3p,cel-miR-1822-3p,cel-let-7-5p,cel-miR-1829b-5p,cel-miR-64-5p,cel-miR-90-3p,cel-lin-4-5p"
